BlockSize,k,Alpha,ClusteringTime,MiningTime,EncodingTime,CompressionTime,DecompressionTime,ClusterTableSize,CodeTableSize,EncodedImageSize,CompressedSize,ActualSize,JPEG Size,GIF Size,JPEG Cr,GIF Cr,Our Cr,CRP Actual,CRP JPEG,CRP GIF,PSNR,MSE,NormalisedCrossRelation,MaxDiff,AvgDiff,NormalisedAbsoluteError,StructuralContent
4.2.02.tiff,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,8,10,6.9144220352,2.7445590496,1.4740300179,11.6947979927,0.6911950111,9.216,16.1216666667,289.175,314.512666667,786.6,404,226.03,1.947029703,3.4800690174,2.5010121479,60.0161878125,22.150330033,-39.1464259907,37.1019957209,1591.3333333333,1.98794588417296E-05,12,0.43359375,0.0031308763,1.0053811521
32,8,22,6.5797328949,2.2328469753,0.8649940491,10.1075999737,0.7098448277,9.216,6.7408333333,294.593,310.549833333,786.6,404,226.03,1.947029703,3.4800690174,2.5329268142,60.5199805068,23.1312293729,-37.393192644,37.1019957209,1591.3333333333,1.98794588417296E-05,12,0.43359375,0.0031308763,1.0053811521
32,8,34,6.4757080078,1.9357261658,0.7223339081,9.552312851,0.7210450172,9.216,3.1768333333,288.754,301.146833333,786.6,404,226.03,1.947029703,3.4800690174,2.6120148477,61.7153784219,25.4587046205,-33.2331253963,37.1019957209,1591.3333333333,1.98794588417296E-05,12,0.43359375,0.0031308763,1.0053811521
32,8,46,6.5279300213,1.6932039261,0.4984300137,9.1394197941,0.7315108776,9.216,1.8938333333,290.017,301.126833333,786.6,404,226.03,1.947029703,3.4800690174,2.6121883304,61.7179210103,25.4636551155,-33.2242770134,37.1019957209,1591.3333333333,1.98794588417296E-05,12,0.43359375,0.0031308763,1.0053811521
32,8,58,6.4326770306,1.6552438736,0.4530990124,8.9801318646,0.7280209064,9.216,1.2068333333,298.323,308.745833333,786.6,404,226.03,1.947029703,3.4800690174,2.54772669,60.7493219764,23.5777640264,-36.5950685012,37.1019957209,1591.3333333333,1.98794588417296E-05,12,0.43359375,0.0031308763,1.0053811521
32,8,70,6.4797911644,1.4582059383,0.3902170658,8.7780201435,0.7460911274,9.216,0.897,303.835,313.948,786.6,404,226.03,1.947029703,3.4800690174,2.5055104667,60.0879735571,22.2900990099,-38.8966066451,37.1019957209,1591.3333333333,1.98794588417296E-05,12,0.43359375,0.0031308763,1.0053811521
32,8,82,6.4788250923,1.3683459759,0.3783500195,8.6808540821,0.7412750721,9.216,0.479,343.726,353.421,786.6,404,226.03,1.947029703,3.4800690174,2.2256741959,55.0697940503,12.5195544554,-56.3602176702,37.1019957209,1591.3333333333,1.98794588417296E-05,12,0.43359375,0.0031308763,1.0053811521
32,8,94,6.6818740368,1.1003270149,0.3425550461,8.5673620701,0.7416009903,9.216,0.2716666667,329.287,338.774666667,786.6,404,226.03,1.947029703,3.4800690174,2.3218973477,56.9317738791,16.1448844884,-49.880399357,37.1019957209,1591.3333333333,1.98794588417296E-05,12,0.43359375,0.0031308763,1.0053811521
32,12,10,7.5234279633,3.0598988533,2.3169131279,13.4009981155,0.7034430504,13.824,17.3003333333,364.602,395.726333333,786.6,404,226.03,1.947029703,3.4800690174,1.9877373168,49.6915416561,2.0479372937,-75.0769071952,42.9957946193,882.6666666667,0.00001779,12,0.3880208333,0.0028018052,1.0048215476
32,12,22,7.4449951649,2.1923069954,0.8765261173,11.0070831776,0.7092759609,13.824,4.3166666667,354.841,372.981666667,786.6,404,226.03,1.947029703,3.4800690174,2.1089508421,52.5830578863,7.6778052805,-65.0142311493,42.9957946193,882.6666666667,0.00001779,12,0.3880208333,0.0028018052,1.0048215476
32,12,34,7.4706180096,2.0898630619,0.7797570229,10.774324894,0.708573103,13.824,2.714,367.029,383.567,786.6,404,226.03,1.947029703,3.4800690174,2.0507499342,51.2373506229,5.0576732673,-69.6973853028,42.9957946193,882.6666666667,0.00001779,12,0.3880208333,0.0028018052,1.0048215476
32,12,46,7.2824530602,1.8284919262,0.7360091209,10.2779650688,0.732558012,13.824,1.7696666667,375.335,390.928666667,786.6,404,226.03,1.947029703,3.4800690174,2.0121317956,50.301466226,3.2354785479,-72.9543275966,42.9957946193,882.6666666667,0.00001779,12,0.3880208333,0.0028018052,1.0048215476
32,12,58,7.1703598499,1.7278771401,0.6935229301,10.0154998302,0.7114560604,13.824,1.049,417.635,432.508,786.6,404,226.03,1.947029703,3.4800690174,1.8186946831,45.015509789,-7.0564356436,-91.3498208202,42.9957946193,882.6666666667,0.00001779,12,0.3880208333,0.0028018052,1.0048215476
