Lenna   ,512,512,,,,,,,,,,,,,,,,,,,,,,,,,
BlockSize,k,Alpha,ClusteringTime,MiningTime,EncodingTime,CompressionTime,DecompressionTime,ClusterTableSize,CodeTableSize,EncodedImageSize,CompressedSize,ActualSize,JPEG Size,GIF Size,JPEG Cr,GIF Cr,Our Cr,CRP Actual,CRP JPEG,CRP GIF,PSNR,MSE,NormalisedCrossRelation,MaxDiff,AvgDiff,NormalisedAbsoluteError,StructuralContent
32,8,10,6.5423619747,8.8739738464,1.4190440178,17.276196003,0.696449995,9.216,15.4221666667,287,311.638166667,786.6,404,226,1.947029703,3.4805309735,2.5240810791,60.3816213238,22.861839934,-37.8929941003,37.7264560449,1495,0.000021939,12,0.478515625,0.0040874207,1.0058091309
32,8,30,6.640458107,3.1408419609,0.8087921143,11.0121212006,0.7133870125,9.216,3.9396666667,293.044,306.199666667,786.6,404,226,1.947029703,3.4805309735,2.5689120062,61.0730146623,24.2080033003,-35.4865781711,37.7264560449,1495,0.000021939,12,0.478515625,0.0040874207,1.0058091309
32,8,50,6.6516079903,1.2017588615,0.4342532158,8.69977808,0.767977953,9.216,1.6103333333,293.277,304.103333333,786.6,404,226,1.947029703,3.4805309735,2.5866207758,61.3395202983,24.7268976898,-34.5589970501,37.7264560449,1495,0.000021939,12,0.478515625,0.0040874207,1.0058091309
32,12,10,7.2530291081,23.226831913,2.1907601357,33.1187210083,0.7483379841,13.824,16.7993333333,363.077,393.700333333,786.6,404,226,1.947029703,3.4805309735,1.9979663043,49.9491058564,2.5494224422,-74.2036873156,43.0982817566,873.6666666667,1.71631964474392E-05,12,0.3743489583,0.0039082489,1.0047255084
32,12,30,7.2498619556,3.9417250156,0.8215649128,12.4366629124,0.7205891609,13.824,3.1651666667,363.876,380.865166667,786.6,404,226,1.947029703,3.4805309735,2.0652978241,51.5808331215,5.7264438944,-68.5244100295,43.0982817566,873.6666666667,1.71631964474392E-05,12,0.3743489583,0.0039082489,1.0047255084
32,12,50,7.2382748127,2.2407259941,0.6765880585,10.5853919983,0.7467570305,13.824,1.3491666667,387.801,402.974166667,786.6,404,226,1.947029703,3.4805309735,1.9519861695,48.7701288245,0.2539191419,-78.3071533923,43.0982817566,873.6666666667,1.71631964474392E-05,12,0.3743489583,0.0039082489,1.0047255084
32,16,10,7.8470389843,21.0629467964,2.1067130566,31.4723777771,0.7357609272,19.968,11.5671666667,399.819,431.354166667,786.6,404,226,1.947029703,3.4805309735,1.8235595267,45.1621959488,-6.7708333333,-90.8646755162,45.1773171409,709.6666666667,1.73422906712386E-05,12,0.3782552083,0.0036766279,1.0047205065
32,16,30,7.8521370888,7.3719651699,1.1822650433,16.8492410183,0.7354121208,19.968,2.913,419.133,442.014,786.6,404,226,1.947029703,3.4805309735,1.7795816422,43.8070175439,-9.4094059406,-95.5814159292,45.1773171409,709.6666666667,1.73422906712386E-05,12,0.3782552083,0.0036766279,1.0047205065
32,16,50,8.0227780342,5.9108350277,1.5751559734,16.0126550198,1.0243089199,19.968,1.6433333333,455.646,477.257333333,786.6,404,226,1.947029703,3.4805309735,1.6481674457,39.3265530977,-18.1330033003,-111.175811209,45.1773171409,709.6666666667,1.73422906712386E-05,12,0.3782552083,0.0036766279,1.0047205065
32,20,10,7.4243929386,23.8852100372,1.8043150902,33.5590150356,0.7023339272,24.96,9.865,435.222,470.047,786.6,404,226,1.947029703,3.4805309735,1.6734496763,40.2431985762,-16.3482673267,-107.98539823,47.6056047357,556.6666666667,1.51036128737465E-05,12,0.3294270833,0.0034162887,1.0041170639
32,20,30,7.0286462307,10.7408108711,1.2642109394,19.4879131317,0.7656779289,24.96,2.8085,478.561,506.3295,786.6,404,226,1.947029703,3.4805309735,1.5535338154,35.6306254767,-25.3290841584,-124.03960177,47.6056047357,556.6666666667,1.51036128737465E-05,12,0.3294270833,0.0034162887,1.0041170639
32,20,50,7.0461921692,8.0789039135,1.199026823,16.718100071,0.6793861389,24.96,2.097,472.412,499.469,786.6,404,226,1.947029703,3.4805309735,1.5748725146,36.5027968472,-23.6309405941,-121.003982301,47.6056047357,556.6666666667,1.51036128737465E-05,12,0.3294270833,0.0034162887,1.0041170639
32,24,10,7.2028949261,31.6309058666,2.1118979454,41.3484461308,0.779722929,29.952,10.4446666667,464.887,505.283666667,786.6,404,226,1.947029703,3.4805309735,1.5567493111,35.7635816595,-25.0702145215,-123.576843658,48.5664939964,505.6666666667,1.17306716588585E-05,12,0.255859375,0.0031808256,1.0031907725
32,24,30,7.1683189869,14.7612369061,1.5289599896,23.8473420143,0.6736500263,29.952,3.4123333333,507.651,541.015333333,786.6,404,226,1.947029703,3.4805309735,1.4539329138,31.221035681,-33.9146864686,-139.387315634,48.5664939964,505.6666666667,1.17306716588585E-05,12,0.255859375,0.0031808256,1.0031907725
32,24,50,7.218020916,9.5487790108,1.2485530376,18.4078941345,0.6850349903,29.952,2.1741666667,490.131,522.257166667,786.6,404,226,1.947029703,3.4805309735,1.506154535,33.6057504873,-29.2715759076,-131.087241888,48.5664939964,505.6666666667,1.17306716588585E-05,12,0.255859375,0.0031808256,1.0031907725
32,28,10,7.3192090988,37.8459429741,2.4406168461,48.0248219967,0.6950011253,34.944,9.8776666667,490.795,535.616666667,786.6,404,226,1.947029703,3.4805309735,1.4685876093,31.9073650309,-32.5783828383,-136.998525074,52.4869148741,341.6666666667,9.4024467494667E-06,7,0.205078125,0.0029942767,1.0024732742
